epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,36.4394,1.46204,2.49127,1.42488,0.01167,0.875,0.46785,0.15678,1.97662,2.94463,1.79783,0.0005348,0.0005348,0.0005348
39,37.3781,1.88246,2.70054,1.58888,0.01167,0.875,0.46785,0.15678,1.97662,2.94463,1.79783,0.0004952,0.0004952,0.0004952
40,38.2791,1.54863,2.46668,1.58986,0.01167,0.875,0.46785,0.15678,1.97662,2.94463,1.79783,0.0004556,0.0004556,0.0004556
41,39.2359,1.49269,2.47733,1.38969,0.01167,0.875,0.67762,0.26304,1.87588,2.7444,1.64908,0.000416,0.000416,0.000416
42,40.1399,1.35081,2.49739,1.25459,0.01167,0.875,0.67762,0.26304,1.87588,2.7444,1.64908,0.0003764,0.0003764,0.0003764
43,41.041,1.1483,2.38174,1.21961,0.01167,0.875,0.67762,0.26304,1.87588,2.7444,1.64908,0.0003368,0.0003368,0.0003368
44,41.9569,1.04128,2.23739,1.20842,0.01167,0.875,0.67762,0.26304,1.87588,2.7444,1.64908,0.0002972,0.0002972,0.0002972
45,42.887,1.38586,2.16041,1.30039,0.01167,0.875,0.67762,0.26304,1.87588,2.7444,1.64908,0.0002576,0.0002576,0.0002576
46,43.936,1.24611,2.3654,1.29315,0.01167,0.875,0.67762,0.26304,1.87588,2.7444,1.64908,0.000218,0.000218,0.000218
47,44.9979,1.11386,2.17431,1.27517,0.01167,0.875,0.67762,0.26304,1.87588,2.7444,1.64908,0.0001784,0.0001784,0.0001784
48,46.0703,1.34904,2.21868,1.40972,0.01167,0.875,0.67762,0.26304,1.87588,2.7444,1.64908,0.0001388,0.0001388,0.0001388
49,47.1259,1.33986,2.36628,1.32362,0.01167,0.875,0.67762,0.26304,1.87588,2.7444,1.64908,9.92e-05,9.92e-05,9.92e-05
50,48.3204,1.70584,2.70886,1.73301,0.01167,0.875,0.67762,0.26304,1.87588,2.7444,1.64908,5.96e-05,5.96e-05,5.96e-05
